ts_code,trade_date,Close,open,high,low,pre_close,change,pct_chg,Volume,amount
000001.SH,20130104,2276.99,2289.51,2296.11,2256.56,2269.13,7.864,0.3466,139470000,114628000
000001.SH,20130107,2285.36,2271.66,2293.32,2266.86,2276.99,8.372,0.3677,118163000,96872900
000001.SH,20130108,2276.07,2284.65,2289.14,2262.98,2285.36,-9.294,-0.4067,122908000,106429000
000001.SH,20130109,2275.34,2271.3,2283.9,2259.05,2276.07,-0.73,-0.0321,122015000,102823000
000001.SH,20130110,2283.66,2274.38,2295.48,2268.65,2275.34,8.318,0.3656,120067000,98236400
000001.SH,20130111,2243,2285.19,2290.21,2234.95,2283.66,-40.661,-1.7805,125068000,101551000
000001.SH,20130114,2311.74,2236.29,2317.62,2235.11,2243,68.743,3.0648,144750000,123615000
000001.SH,20130115,2325.68,2312.47,2332.78,2309.32,2311.74,13.942,0.6031,165646000,141014000
000001.SH,20130116,2309.5,2322.16,2326.76,2279.51,2325.68,-16.183,-0.6958,153511000,133108000
000001.SH,20130117,2284.91,2305.14,2305.6,2275.88,2309.5,-24.59,-1.0647,119102000,103214000
000001.SH,20130118,2317.07,2295.81,2324.51,2285.97,2284.91,32.161,1.4075,125438000,105392000
000001.SH,20130121,2328.22,2321.49,2329.58,2305.1,2317.07,11.151,0.4813,134680000,113016000
000001.SH,20130122,2315.14,2326.49,2335.81,2301.3,2328.22,-13.082,-0.5619,149467000,123370000
000001.SH,20130123,2320.91,2308.52,2325.12,2296.49,2315.14,5.772,0.2493,118180000,96956200
000001.SH,20130124,2302.6,2320.26,2362.94,2287.3,2320.91,-18.313,-0.789,161032000,135604000
000001.SH,20130125,2291.3,2300,2308.38,2288.26,2302.6,-11.294,-0.4905,92605700,80267400
000001.SH,20130128,2346.5,2295.35,2346.92,2295.35,2291.3,55.201,2.4092,128384000,116916000
000001.SH,20130129,2358.98,2347.22,2363.8,2337.35,2346.5,12.472,0.5315,141854000,124917000
000001.SH,20130130,2382.48,2360.75,2383.76,2347.89,2358.98,23.498,0.9961,149879000,124856000
000001.SH,20130131,2385.42,2383.43,2391.82,2371.23,2382.48,2.947,0.1237,139708000,116205000
000001.SH,20130201,2419.02,2377.41,2421.15,2369.57,2385.42,33.598,1.4085,140818000,125555000
000001.SH,20130204,2428.15,2425.92,2440.38,2417.58,2419.02,9.134,0.3776,167551000,152534000
000001.SH,20130205,2433.13,2411,2437.42,2403.3,2428.15,4.976,0.2049,150755000,127096000
000001.SH,20130206,2434.48,2432.68,2441.73,2427.7,2433.13,1.347,0.0554,116580000,104584000
000001.SH,20130207,2418.53,2430.69,2433.89,2394.22,2434.48,-15.947,-0.655,120009000,109335000
000001.SH,20130208,2432.4,2416.62,2443.03,2414.4,2418.53,13.872,0.5736,109070000,98965200
000001.SH,20130218,2421.56,2441.91,2444.8,2415.43,2432.4,-10.844,-0.4458,116175000,103657000
000001.SH,20130219,2382.91,2420.26,2427.07,2373.53,2421.56,-38.644,-1.5958,123473000,106331000
000001.SH,20130220,2397.18,2383.49,2397.94,2370.61,2382.91,14.264,0.5986,110281000,97222300
000001.SH,20130221,2325.95,2378.82,2378.82,2309.17,2397.18,-71.227,-2.9713,144059000,126628000
000001.SH,20130222,2314.16,2322.94,2330.88,2308.76,2325.95,-11.787,-0.5068,96981800,87579800
000001.SH,20130225,2325.82,2320.62,2338.78,2315.01,2314.16,11.655,0.5036,88367400,77642300
000001.SH,20130226,2293.34,2313.74,2340.71,2289.89,2325.82,-32.478,-1.3964,117639000,105917000
000001.SH,20130227,2313.22,2297.77,2324.63,2292.03,2293.34,19.879,0.8668,97824900,88262900
000001.SH,20130228,2365.59,2322.32,2366.16,2308.92,2313.22,52.373,2.2641,126950000,115918000
000001.SH,20130301,2359.51,2364.54,2369.65,2330.86,2365.59,-6.087,-0.2573,120313000,111531000
000001.SH,20130304,2273.4,2332.08,2333.54,2259.25,2359.51,-86.102,-3.6492,161750000,143047000
000001.SH,20130305,2326.31,2274.81,2328.14,2270.1,2273.4,52.902,2.327,131137000,116721000
000001.SH,20130306,2347.18,2333.61,2351.44,2321.6,2326.31,20.873,0.8973,141334000,125365000
000001.SH,20130307,2324.29,2340.44,2352.02,2304.27,2347.18,-22.886,-0.975,139756000,126086000
000001.SH,20130308,2318.61,2326.42,2333.67,2314.59,2324.29,-5.682,-0.2445,98794100,88438600
000001.SH,20130311,2310.59,2314.68,2320.96,2296.58,2318.61,-8.018,-0.3458,84111900,73919900
000001.SH,20130312,2286.6,2309.16,2333.29,2264.83,2310.59,-23.988,-1.0382,117664000,100637000
000001.SH,20130313,2263.97,2282.17,2286.33,2253.25,2286.6,-22.637,-0.99,90972800,77689000
000001.SH,20130314,2270.28,2255.77,2276.22,2253.31,2263.97,6.309,0.2787,80294100,69218600
000001.SH,20130315,2278.4,2269.31,2312.08,2250,2270.28,8.124,0.3578,116478000,101578000
000001.SH,20130318,2240.02,2267.29,2276.05,2239.21,2278.4,-38.385,-1.6847,93122800,81486200
000001.SH,20130319,2257.43,2244.26,2261.31,2232.02,2240.02,17.418,0.7776,87582100,75512100
000001.SH,20130320,2317.37,2257.74,2317.86,2257.42,2257.43,59.94,2.6552,131241000,113974000
000001.SH,20130321,2324.24,2318.21,2330.81,2311.6,2317.37,6.868,0.2964,119201000,104786000
000001.SH,20130322,2328.28,2321.4,2332,2314.97,2324.24,4.036,0.1736,101167000,85951300
000001.SH,20130325,2326.72,2334.74,2344.89,2319.91,2328.28,-1.563,-0.0671,97031500,85418600
000001.SH,20130326,2297.67,2318.58,2319.99,2281.12,2326.72,-29.046,-1.2484,104449000,91811300
000001.SH,20130327,2301.26,2299.38,2323.48,2289,2297.67,3.59,0.1562,96331200,85708400
000001.SH,20130328,2236.3,2273.55,2273.55,2232.91,2301.26,-64.957,-2.8227,127659000,107594000
000001.SH,20130329,2236.62,2238.49,2246.87,2228.81,2236.3,0.319,0.0143,85565500,73358200
000001.SH,20130401,2234.4,2229.46,2243.95,2227.31,2236.62,-2.226,-0.0995,77411800,66997500
000001.SH,20130402,2227.74,2234.9,2253.42,2220.44,2234.4,-6.655,-0.2978,89714300,77596700
000001.SH,20130403,2225.29,2232.69,2241.34,2217.25,2227.74,-2.445,-0.1098,81795300,68801400
